riskiness_debited	riskiness_country	riskiness_sum	riskiness_transaction
1	1	15	0.10
1	1	100	0.15
1	1	300	0.26
1	2	15	0.16
1	2	100	0.20
1	2	300	0.31
1	3	15	0.21
1	3	100	0.26
1	3	300	0.37
1	4	15	0.27
1	4	100	0.31
1	4	300	0.43
1	5	15	0.32
1	5	100	0.37
1	5	300	0.48
1	6	15	0.38
1	6	100	0.43
1	6	300	0.54
2	1	15	0.14
2	1	100	0.19
2	1	300	0.30
2	2	15	0.19
2	2	100	0.24
2	2	300	0.35
2	3	15	0.25
2	3	100	0.30
2	3	300	0.41
2	4	15	0.30
2	4	100	0.35
2	4	300	0.46
2	5	15	0.36
2	5	100	0.41
2	5	300	0.52
2	6	15	0.42
2	6	100	0.46
2	6	300	0.57
3	1	15	0.18
3	1	100	0.22
3	1	300	0.33
3	2	15	0.23
3	2	100	0.28
3	2	300	0.39
3	3	15	0.29
3	3	100	0.33
3	3	300	0.44
3	4	15	0.34
3	4	100	0.39
3	4	300	0.50
3	5	15	0.40
3	5	100	0.44
3	5	300	0.56
3	6	15	0.45
3	6	100	0.50
3	6	300	0.61
4	1	15	0.21
4	1	100	0.26
4	1	300	0.37
4	2	15	0.27
4	2	100	0.31
4	2	300	0.43
4	3	15	0.32
4	3	100	0.37
4	3	300	0.48
4	4	15	0.38
4	4	100	0.43
4	4	300	0.54
4	5	15	0.43
4	5	100	0.48
4	5	300	0.59
4	6	15	0.49
4	6	100	0.54
4	6	300	0.65
5	1	15	0.25
5	1	100	0.30
5	1	300	0.41
5	2	15	0.30
5	2	100	0.35
5	2	300	0.46
5	3	15	0.36
5	3	100	0.41
5	3	300	0.52
5	4	15	0.42
5	4	100	0.46
5	4	300	0.57
5	5	15	0.47
5	5	100	0.52
5	5	300	0.63
5	6	15	0.53
5	6	100	0.57
5	6	300	0.69
6	1	15	0.29
6	1	100	0.33
6	1	300	0.44
6	2	15	0.34
6	2	100	0.39
6	2	300	0.50
6	3	15	0.40
6	3	100	0.44
6	3	300	0.56
6	4	15	0.45
6	4	100	0.50
6	4	300	0.61
6	5	15	0.51
6	5	100	0.56
6	5	300	0.67
6	6	15	0.56
6	6	100	0.61
6	6	300	0.72
7	1	15	0.32
7	1	100	0.37
7	1	300	0.48
7	2	15	0.38
7	2	100	0.43
7	2	300	0.54
7	3	15	0.43
7	3	100	0.48
7	3	300	0.59
7	4	15	0.49
7	4	100	0.54
7	4	300	0.65
7	5	15	0.55
7	5	100	0.59
7	5	300	0.70
7	6	15	0.60
7	6	100	0.65
7	6	300	0.76
8	1	15	0.36
8	1	100	0.41
8	1	300	0.52
8	2	15	0.42
8	2	100	0.46
8	2	300	0.57
8	3	15	0.47
8	3	100	0.52
8	3	300	0.63
8	4	15	0.53
8	4	100	0.57
8	4	300	0.69
8	5	15	0.58
8	5	100	0.63
8	5	300	0.74
8	6	15	0.64
8	6	100	0.69
8	6	300	0.80
9	1	15	0.40
9	1	100	0.44
9	1	300	0.56
9	2	15	0.45
9	2	100	0.50
9	2	300	0.61
9	3	15	0.51
9	3	100	0.56
9	3	300	0.67
9	4	15	0.56
9	4	100	0.61
9	4	300	0.72
9	5	15	0.62
9	5	100	0.67
9	5	300	0.78
9	6	15	0.68
9	6	100	0.72
9	6	300	0.83
9	6	600	1.00
